customer_id,last_tx_date,recency,frequency,monetary,r_score,f_score,m_score,rfm_score,customer_segment,location
C1037863,2016-10-30,2,3,133457.37,5,5,5,555,Champions,MUMBAI
C1000549,2016-10-28,4,2,62112.03,5,4,5,545,Champions,CHENNAI
C1031722,2016-09-17,45,2,55715.58,2,2,5,225,Low Value / Casual,MUMBAI
C1044181,2016-10-06,26,4,44427.01,3,5,5,355,Loyal Customers,NOIDA
C1039811,2016-09-24,38,3,44356.12,2,4,5,245,At Risk,MUMBAI
C1042679,2016-10-21,11,4,38115.41,4,5,5,455,Champions,AHMEDABAD
C1023244,2016-09-23,39,5,35612.41,2,5,5,255,At Risk,AHMEDABAD
C1014909,2016-10-12,20,3,34669.89,4,4,5,445,Champions,NOIDA
C1015154,2016-10-23,9,5,34161.93,5,5,5,555,Champions,AHMEDABAD
C1026085,2016-10-30,2,3,33972.11,5,5,5,555,Champions,HYDERABAD
C1028948,2016-10-18,14,3,33282.49,4,4,5,445,Champions,MUMBAI
C1044497,2016-10-21,11,5,31864.33,4,5,5,455,Champions,BANGALORE
C1042731,2016-10-29,3,3,31642.89,5,5,5,555,Champions,JAIPUR
C1001851,2016-10-21,11,3,31401.56,4,4,5,445,Champions,MUMBAI
C1030672,2016-09-21,41,2,31246.13,2,3,5,235,At Risk,BANGALORE
C1006484,2016-10-03,29,4,31166.62,3,5,5,355,Loyal Customers,CHENNAI
C1005919,2016-10-14,18,4,30878.44,4,5,5,455,Champions,AHMEDABAD
C1023890,2016-08-16,77,1,30333.42,1,1,5,115,Low Value / Casual,THANE
C1025716,2016-08-07,86,1,29994.56,1,1,5,115,Low Value / Casual,NEW DELHI
C1007735,2016-09-16,46,3,29493.44,2,4,5,245,At Risk,MUMBAI
C1041841,2016-10-30,2,6,29437.21,5,5,5,555,Champions,BANGALORE
C1044945,2016-10-20,12,6,28848.12,4,5,5,455,Champions,THANE
C1020606,2016-10-27,5,3,28837.52,5,5,5,555,Champions,NEW DELHI
C1046029,2016-10-11,21,5,28652.66,3,5,5,355,Loyal Customers,BANGALORE
C1043145,2016-10-30,2,8,28590.17,5,5,5,555,Champions,KOLKATA
C1047390,2016-10-27,5,5,28350.73,5,5,5,555,Champions,MUMBAI
C1032778,2016-10-10,22,2,27677.96,3,3,5,335,Loyal Customers,HYDERABAD
C1002173,2016-09-12,50,2,27487.87,2,2,5,225,Low Value / Casual,BANGALORE
C1038099,2016-10-28,4,4,27344.06,5,5,5,555,Champions,CHENNAI
C1007232,2016-10-25,7,4,26547.89,5,5,5,555,Champions,BANGALORE
C1006190,2016-10-14,18,3,26311.94,4,4,5,445,Champions,BANGALORE
C1025675,2016-10-26,6,4,26220.68,5,5,5,555,Champions,HYDERABAD
C1017000,2016-09-16,46,2,26128.39,2,2,5,225,Low Value / Casual,PATNA
C1035408,2016-10-30,2,2,26121.3,5,4,5,545,Champions,PUNE
C1025367,2016-10-23,9,3,25843.96,5,4,5,545,Champions,PUNE
C1049786,2016-09-26,36,2,25735.79,2,3,5,235,At Risk,PUNE
C1020416,2016-10-15,17,3,25475.84,4,4,5,445,Champions,KOLKATA
C1014440,2016-10-26,6,2,25474.93,5,3,5,535,Loyal Customers,INDORE
C1029434,2016-08-21,72,1,25362.27,1,1,5,115,Low Value / Casual,HYDERABAD
C1018339,2016-09-12,50,4,25346.46,2,5,5,255,At Risk,BANGALORE
C1030604,2016-10-10,22,3,25166.91,3,4,5,345,Loyal Customers,MUMBAI
C1010510,2016-10-25,7,3,24712.13,5,4,5,545,Champions,HYDERABAD
C1047781,2016-09-30,32,3,24629.22,3,4,5,345,Loyal Customers,BANGALORE
C1049195,2016-09-12,50,2,24265.19,2,2,5,225,Low Value / Casual,HYDERABAD
C1029132,2016-09-28,34,2,24217.99,2,3,5,235,At Risk,BANGALORE
C1019457,2016-10-30,2,4,24042.61,5,5,5,555,Champions,PUNE
C1027652,2016-10-10,22,3,23558.07,3,4,5,345,Loyal Customers,MUMBAI
C1019451,2016-09-05,57,3,23378.36,1,4,5,145,At Risk,JAIPUR
C1043910,2016-10-29,3,4,23152.65,5,5,5,555,Champions,BANGALORE
C1049437,2016-10-17,15,3,22999.32,4,4,5,445,Champions,CHENNAI
C1014215,2016-10-24,8,3,22779.71,5,4,5,545,Champions,KOLKATA
C1012666,2016-10-18,14,1,22742.97,4,2,5,425,Big Spenders,MUMBAI
C1022023,2016-10-12,20,3,22742.3,3,4,5,345,Loyal Customers,AHMEDABAD
C1023275,2016-09-08,54,3,22604.3,2,4,5,245,At Risk,MUMBAI
C1038104,2016-10-28,4,5,22579.16,5,5,5,555,Champions,GURGAON
C1042609,2016-09-29,33,3,22542.96,3,4,5,345,Loyal Customers,CHENNAI
C1035336,2016-10-01,31,4,22502.35,3,5,5,355,Loyal Customers,MUMBAI
C1046161,2016-10-24,8,3,22486.05,5,4,5,545,Champions,PUNE
C1035489,2016-10-17,15,6,22416.2,4,5,5,455,Champions,KOLKATA
C1037571,2016-09-20,42,5,22389.43,2,5,5,255,At Risk,MUMBAI
C1013044,2016-10-30,2,5,22333.77,5,5,5,555,Champions,NEW DELHI
C1025026,2016-08-19,74,2,22285.81,1,2,5,125,Low Value / Casual,GURGAON
C1038433,2016-10-30,2,1,22178.65,5,2,5,525,Big Spenders,BANGALORE
C1019583,2016-10-26,6,2,22174.26,5,3,5,535,Loyal Customers,HYDERABAD
C1014530,2016-10-07,25,3,22133.98,3,4,5,345,Loyal Customers,MUMBAI
C1002841,2016-10-03,29,3,21926.98,3,4,5,345,Loyal Customers,NOIDA
C1011381,2016-08-08,85,1,21537.81,1,1,5,115,Low Value / Casual,MUMBAI
C1034557,2016-10-02,30,2,21521.29,3,3,5,335,Loyal Customers,PUNE
C1038214,2016-10-11,21,1,21506.2,3,2,5,325,Big Spenders,THANE
C1038646,2016-10-28,4,4,21437.37,5,5,5,555,Champions,NOIDA
C1002835,2016-10-28,4,2,21429.18,5,3,5,535,Loyal Customers,GURGAON
C1009864,2016-10-20,12,5,21339.42,4,5,5,455,Champions,BANGALORE
C1016687,2016-10-17,15,2,21300.01,4,3,5,435,Loyal Customers,AHMEDABAD
C1040701,2016-10-06,26,4,21075.58,3,5,5,355,Loyal Customers,JAIPUR
C1049424,2016-10-17,15,4,20820.37,4,5,5,455,Champions,THANE
C1006419,2016-10-04,28,4,20766.1,3,5,5,355,Loyal Customers,MUMBAI
C1023283,2016-09-18,44,4,20741.42,2,5,5,255,At Risk,HYDERABAD
C1007559,2016-10-24,8,1,20732.86,5,2,5,525,Big Spenders,BANGALORE
C1047894,2016-10-14,18,5,20709.23,4,5,5,455,Champions,NOIDA
C1048363,2016-10-11,21,5,20652.81,3,5,5,355,Loyal Customers,CHENNAI
C1014803,2016-09-26,36,3,20627.31,2,4,5,245,At Risk,HYDERABAD
C1028704,2016-10-27,5,2,20627.28,5,3,5,535,Loyal Customers,JAIPUR
C1006147,2016-09-21,41,4,20550.17,2,5,5,255,At Risk,NEW DELHI
C1008126,2016-10-22,10,6,20325.84,4,5,5,455,Champions,MUMBAI
C1025488,2016-10-02,30,5,20310.28,3,5,5,355,Loyal Customers,CHENNAI
C1043816,2016-10-22,10,4,20227.28,4,5,5,455,Champions,PUNE
C1044663,2016-10-17,15,2,20102.97,4,3,5,435,Loyal Customers,BANGALORE
C1034641,2016-10-06,26,2,20061.46,3,3,5,335,Loyal Customers,JAIPUR
C1022651,2016-10-27,5,3,19688.31,5,5,5,555,Champions,MUMBAI
C1008069,2016-10-19,13,2,19613.41,4,3,5,435,Loyal Customers,BANGALORE
C1049167,2016-10-20,12,1,19581.53,4,2,5,425,Big Spenders,BANGALORE
C1033546,2016-10-05,27,2,19573.77,3,3,5,335,Loyal Customers,MUMBAI
C1033961,2016-09-15,47,2,19535.76,2,2,5,225,Low Value / Casual,NOIDA
C1020485,2016-10-24,8,5,19392.29,5,5,5,555,Champions,HYDERABAD
C1003136,2016-10-06,26,5,19385.66,3,5,5,355,Loyal Customers,NEW DELHI
C1049124,2016-08-23,70,3,19336.69,1,4,5,145,At Risk,PUNE
C1028558,2016-10-29,3,5,19294.37,5,5,5,555,Champions,GURGAON
C1030813,2016-10-16,16,4,19255.58,4,5,5,455,Champions,PUNE
C1009658,2016-09-16,46,2,19154.37,2,2,5,225,Low Value / Casual,HYDERABAD
C1047391,2016-10-01,31,3,19121.24,3,4,5,345,Loyal Customers,BANGALORE
C1006112,2016-09-29,33,2,19040.19,3,3,5,335,Loyal Customers,NEW DELHI
C1031012,2016-10-20,12,3,18990.27,4,4,5,445,Champions,NEW DELHI
C1015561,2016-09-08,54,2,18919.26,2,2,5,225,Low Value / Casual,NEW DELHI
C1015051,2016-10-20,12,2,18913.62,4,3,5,435,Loyal Customers,MUMBAI
C1024640,2016-10-14,18,2,18908.9,4,3,5,435,Loyal Customers,CHENNAI
C1047743,2016-09-19,43,1,18885.02,2,1,5,215,Low Value / Casual,MUMBAI
C1001393,2016-09-27,35,3,18710.69,2,4,5,245,At Risk,KOLKATA
C1002845,2016-09-25,37,3,18692.5,2,4,5,245,At Risk,LUCKNOW
C1043008,2016-10-02,30,4,18680.01,3,5,5,355,Loyal Customers,MUMBAI
C1048859,2016-10-23,9,6,18644.51,5,5,5,555,Champions,HYDERABAD
C1024286,2016-10-10,22,5,18544.51,3,5,5,355,Loyal Customers,THANE
C1026110,2016-10-10,22,4,18501.57,3,5,5,355,Loyal Customers,BANGALORE
C1014953,2016-10-20,12,3,18409.64,4,4,5,445,Champions,KOLKATA
C1023737,2016-10-23,9,4,18330.87,5,5,5,555,Champions,KOLKATA
C1023639,2016-10-19,13,6,18262.85,4,5,5,455,Champions,MUMBAI
C1034573,2016-09-16,46,4,18206.85,2,5,5,255,At Risk,GURGAON
C1031222,2016-10-23,9,4,18177.04,5,5,5,555,Champions,KOLKATA
C1042564,2016-10-17,15,4,18165.6,4,5,5,455,Champions,MUMBAI
C1009352,2016-10-21,11,4,18131.93,4,5,5,455,Champions,KOLKATA
C1010317,2016-10-04,28,4,18127.5,3,5,5,355,Loyal Customers,NOIDA
C1029267,2016-10-21,11,4,18118.44,4,5,5,455,Champions,NEW DELHI
C1018876,2016-10-19,13,5,18101.08,4,5,5,455,Champions,BANGALORE
C1017314,2016-08-18,75,3,18044.54,1,4,5,145,At Risk,LUCKNOW
C1013234,2016-10-31,1,4,17970.9,5,5,5,555,Champions,NEW DELHI
C1043576,2016-10-23,9,4,17963.1,5,5,5,555,Champions,LUCKNOW
C1024439,2016-10-28,4,6,17925.13,5,5,5,555,Champions,MUMBAI
C1019005,2016-09-01,61,3,17902.09,1,4,5,145,At Risk,SURAT
C1018341,2016-10-22,10,5,17804.32,4,5,5,455,Champions,KOLKATA
C1045096,2016-10-24,8,6,17789.37,5,5,5,555,Champions,PUNE
C1036763,2016-10-23,9,4,17778.42,5,5,5,555,Champions,BANGALORE
C1034075,2016-08-25,68,1,17562.01,1,1,5,115,Low Value / Casual,HYDERABAD
C1001375,2016-10-22,10,4,17536.23,4,5,5,455,Champions,NEW DELHI
C1024040,2016-10-29,3,4,17527.18,5,5,5,555,Champions,GURGAON
C1019516,2016-10-16,16,4,17490.04,4,5,5,455,Champions,NOIDA
C1031714,2016-10-14,18,1,17460.02,4,2,5,425,Big Spenders,KOLKATA
C1011215,2016-10-31,1,1,17450.07,5,2,5,525,Big Spenders,MUMBAI
C1003685,2016-10-11,21,4,17405.06,3,5,5,355,Loyal Customers,KOLKATA
C1040700,2016-10-28,4,3,17367.31,5,5,5,555,Champions,BANGALORE
C1042111,2016-10-31,1,8,17354.68,5,5,5,555,Champions,NEW DELHI
C1006248,2016-10-09,23,4,17310.0,3,5,5,355,Loyal Customers,AHMEDABAD
C1003719,2016-10-14,18,2,17283.68,4,3,5,435,Loyal Customers,JAIPUR
C1043706,2016-09-28,34,4,17260.19,3,5,5,355,Loyal Customers,MUMBAI
C1013511,2016-10-12,20,3,17185.99,3,4,5,345,Loyal Customers,NOIDA
C1032045,2016-10-28,4,5,17155.4,5,5,5,555,Champions,NEW DELHI
C1022537,2016-10-04,28,1,17110.63,3,2,5,325,Big Spenders,NOIDA
C1000109,2016-10-29,3,3,17097.72,5,5,5,555,Champions,AHMEDABAD
C1047689,2016-10-11,21,6,17097.63,3,5,5,355,Loyal Customers,PUNE
C1040569,2016-10-24,8,5,17096.48,5,5,5,555,Champions,NOIDA
C1047288,2016-10-30,2,3,17071.53,5,5,5,555,Champions,NOIDA
C1017818,2016-10-23,9,6,17061.35,5,5,5,555,Champions,MUMBAI
C1001207,2016-10-24,8,3,16972.44,5,4,5,545,Champions,GURGAON
C1016674,2016-10-29,3,6,16942.86,5,5,5,555,Champions,HYDERABAD
C1031175,2016-08-21,72,2,16856.44,1,2,5,125,Low Value / Casual,CHENNAI
C1033779,2016-08-25,68,2,16828.64,1,2,5,125,Low Value / Casual,NOIDA
C1031529,2016-09-25,37,5,16800.38,2,5,5,255,At Risk,HYDERABAD
C1016442,2016-10-04,28,3,16776.51,3,4,5,345,Loyal Customers,HYDERABAD
C1000753,2016-10-29,3,6,16748.95,5,5,5,555,Champions,CHENNAI
C1009584,2016-09-08,54,1,16745.48,2,1,5,215,Low Value / Casual,BANGALORE
C1033255,2016-09-09,53,4,16735.19,2,5,5,255,At Risk,PUNE
C1001326,2016-10-31,1,6,16580.06,5,5,5,555,Champions,BANGALORE
C1021345,2016-10-02,30,2,16577.28,3,3,5,335,Loyal Customers,BANGALORE
C1004899,2016-09-30,32,2,16576.97,3,3,5,335,Loyal Customers,GURGAON
C1037912,2016-10-04,28,1,16548.07,3,2,5,325,Big Spenders,BANGALORE
C1044919,2016-10-29,3,3,16547.99,5,5,5,555,Champions,HYDERABAD
C1046074,2016-10-26,6,3,16520.08,5,5,5,555,Champions,HYDERABAD
C1008353,2016-10-26,6,1,16503.51,5,2,5,525,Big Spenders,NEW DELHI
C1035735,2016-10-28,4,4,16476.91,5,5,5,555,Champions,KOLKATA
C1038811,2016-10-28,4,7,16474.71,5,5,5,555,Champions,MUMBAI
C1010159,2016-10-27,5,3,16435.22,5,5,5,555,Champions,HYDERABAD
C1044973,2016-10-05,27,4,16395.17,3,5,5,355,Loyal Customers,MUMBAI
C1043141,2016-10-15,17,5,16287.01,4,5,5,455,Champions,BANGALORE
C1008154,2016-09-18,44,2,16182.03,2,2,5,225,Low Value / Casual,HYDERABAD
C1022671,2016-10-12,20,4,16168.25,4,5,5,455,Champions,PUNE
C1042988,2016-10-24,8,5,16119.07,5,5,5,555,Champions,HYDERABAD
C1025886,2016-10-02,30,4,16055.72,3,5,5,355,Loyal Customers,BANGALORE
C1015007,2016-10-22,10,2,16022.41,4,3,5,435,Loyal Customers,PUNE
