transaction_id,customer_id,transaction_date,transaction_time,transaction_amount,account_balance,location,month
T1,C1017136,2016-09-03,18:10:41,171.93,10278.72,KOLKATA,2016-09
T2,C1047045,2016-10-24,18:32:27,263.46,65706.66,KOLKATA,2016-10
T3,C1022833,2016-09-18,06:58:52,875.07,7908.8,PATNA,2016-09
T4,C1036642,2016-09-29,09:52:50,1160.93,7332.32,HYDERABAD,2016-09
T5,C1030379,2016-08-03,10:25:10,138.45,17153.1,GURGAON,2016-08
T6,C1035958,2016-08-21,00:37:55,256.49,11743.47,BANGALORE,2016-08
T7,C1015485,2016-08-02,22:11:23,600.05,1835.72,BANGALORE,2016-08
T8,C1001805,2016-09-03,22:05:25,235.9,20797.98,NEW DELHI,2016-09
T9,C1031798,2016-08-18,03:53:44,1057.12,265313.05,BANGALORE,2016-08
T10,C1023021,2016-08-26,05:15:19,305.58,28955.2,HYDERABAD,2016-08
T11,C1019505,2016-08-27,01:23:09,680.32,15273.05,AHMEDABAD,2016-08
T12,C1049579,2016-09-25,03:41:36,8718.26,7709.05,BANGALORE,2016-09
T13,C1023791,2016-08-20,06:14:26,1063.42,51998.85,CHENNAI,2016-08
T14,C1024253,2016-10-23,13:05:59,6552.81,10127.12,CHENNAI,2016-10
T15,C1039542,2016-08-15,20:08:11,76.18,177647.52,PUNE,2016-08
T16,C1046113,2016-10-07,06:43:20,437.38,62247.36,NEW DELHI,2016-10
T17,C1008025,2016-08-28,22:04:00,1625.74,83251.48,NOIDA,2016-08
T18,C1037647,2016-10-04,18:01:59,672.52,42589.18,MUMBAI,2016-10
T19,C1017291,2016-09-13,07:51:56,249.34,13756.88,SURAT,2016-09
T20,C1037431,2016-09-04,08:39:24,67.56,24914.04,BANGALORE,2016-09
T21,C1008319,2016-10-24,23:05:26,133.44,59717.72,BANGALORE,2016-10
T22,C1040754,2016-10-19,11:03:30,550.09,8589.48,PATNA,2016-10
T23,C1011462,2016-09-20,04:09:40,1304.63,71240.85,NEW DELHI,2016-09
T24,C1028883,2016-08-05,21:24:50,71.87,5182.3,KOLKATA,2016-08
T25,C1022121,2016-09-14,05:59:41,344.16,102872.37,SURAT,2016-09
T26,C1011584,2016-10-16,18:09:40,1266.72,13196.54,THANE,2016-10
T27,C1032438,2016-09-11,15:23:28,174.17,17029.96,BANGALORE,2016-09
T28,C1019366,2016-09-08,17:24:00,676.85,8740.6,NEW DELHI,2016-09
T29,C1040727,2016-08-30,20:24:22,25.67,5796.36,CHENNAI,2016-08
T30,C1007982,2016-09-15,07:28:04,1334.04,3398.35,BANGALORE,2016-09
T31,C1014607,2016-09-22,17:08:38,70.59,4009.16,NEW DELHI,2016-09
T32,C1026276,2016-08-29,08:04:34,102.77,9241.09,NEW DELHI,2016-08
T33,C1013412,2016-10-13,12:51:29,269.61,37612.37,BANGALORE,2016-10
T34,C1046968,2016-10-21,02:18:32,1177.21,92568.53,BANGALORE,2016-10
T35,C1023882,2016-10-28,14:45:08,866.43,2627.9,BANGALORE,2016-10
T36,C1001941,2016-09-24,21:03:34,400.55,22863.46,PUNE,2016-09
T37,C1030272,2016-10-19,23:57:39,58.94,76028.99,NEW DELHI,2016-10
T38,C1008921,2016-10-07,07:16:17,508.99,6159.83,THANE,2016-10
T39,C1002474,2016-10-01,07:21:57,1930.77,27015.18,GURGAON,2016-10
T40,C1020453,2016-09-11,12:46:29,772.13,17508.03,MUMBAI,2016-09
T41,C1015665,2016-10-30,05:39:19,148.95,19030.94,AHMEDABAD,2016-10
T42,C1014016,2016-09-10,20:02:32,74.41,5092.0,CHENNAI,2016-09
T43,C1042759,2016-10-31,17:14:21,989.94,9653.05,PATNA,2016-10
T44,C1013721,2016-08-26,07:31:36,841.55,10950.36,MUMBAI,2016-08
T45,C1022293,2016-10-07,19:14:35,878.51,8874.42,CHENNAI,2016-10
T46,C1037428,2016-09-08,00:16:27,378.47,31010.43,CHENNAI,2016-09
T47,C1041383,2016-08-24,14:38:23,215.46,7968.24,BANGALORE,2016-08
T48,C1024617,2016-08-12,10:25:24,469.82,123652.34,BANGALORE,2016-08
T49,C1041766,2016-08-06,13:24:38,1478.91,52104.71,NEW DELHI,2016-08
T50,C1035805,2016-08-18,18:20:20,322.87,13442.83,BANGALORE,2016-08
T51,C1018728,2016-09-01,16:48:36,169.49,12155.37,NEW DELHI,2016-09
T52,C1001094,2016-09-22,17:59:48,3198.69,19717.97,PUNE,2016-09
T53,C1021512,2016-09-13,02:05:40,668.05,158701.68,MUMBAI,2016-09
T54,C1004437,2016-09-27,06:28:09,446.22,3701.39,MUMBAI,2016-09
T55,C1033436,2016-10-30,01:54:03,406.42,17858.39,NOIDA,2016-10
T56,C1024341,2016-08-11,09:32:32,327.82,6200.19,KOLKATA,2016-08
T57,C1001355,2016-10-17,12:31:43,543.44,14616.28,KOLKATA,2016-10
T58,C1042213,2016-10-02,15:38:32,1500.05,8232.36,MUMBAI,2016-10
T59,C1038070,2016-10-04,09:56:59,228.45,13320.15,BANGALORE,2016-10
T60,C1035832,2016-09-16,06:23:46,460.78,2709.72,GURGAON,2016-09
T61,C1007552,2016-09-25,05:37:41,1471.54,21196.19,MUMBAI,2016-09
T62,C1000664,2016-08-15,02:48:19,69.28,21409.68,SURAT,2016-08
T63,C1019848,2016-10-04,14:46:20,966.83,22338.5,BANGALORE,2016-10
T64,C1040650,2016-08-22,17:09:00,412.34,24672.26,HYDERABAD,2016-08
T65,C1022536,2016-08-28,02:13:14,697.7,7681.75,KOLKATA,2016-08
T66,C1045146,2016-09-08,01:00:17,439.0,60856.17,CHENNAI,2016-09
T67,C1020865,2016-08-24,23:47:43,26.63,35261.71,HYDERABAD,2016-08
T68,C1024327,2016-09-20,00:22:21,1321.61,14796.73,INDORE,2016-09
T69,C1042453,2016-08-20,18:53:50,382.78,14687.13,NEW DELHI,2016-08
T70,C1048974,2016-10-05,07:42:56,882.47,9721.24,LUCKNOW,2016-10
T71,C1034616,2016-10-29,02:51:59,3380.44,6114.71,CHENNAI,2016-10
T72,C1017829,2016-10-12,12:58:37,672.41,8607.03,NEW DELHI,2016-10
T73,C1037480,2016-08-31,20:14:29,860.84,41632.68,INDORE,2016-08
