TransactionID,CustomerID,CustomerDOB,CustGender,CustLocation,CustAccountBalance,TransactionDate,TransactionTime,TransactionAmount (INR)
T1,C1017136,4/11/1990,F,KOLKATA,10278.72,3/9/16,181041,171.93
T2,C1047045,21/12/1979,M,KOLKATA,65706.66,24/10/16,183227,263.46
T3,C1022833,19/11/1959,F,PATNA,7908.80,18/9/16,65852,875.07
T4,C1036642,19/12/1970,M,HYDERABAD,7332.32,29/9/16,95250,1160.93
T5,C1030379,17/3/1962,M,GURGAON,17153.10,3/8/16,102510,138.45
T6,C1035958,13/4/1955,M,BANGALORE,11743.47,21/8/16,3755,256.49
T7,C1015485,8/11/1970,M,BANGALORE,1835.72,2/8/16,221123,600.05
T8,C1001805,28/10/1994,M,NEW DELHI,20797.98,3/9/16,220525,235.90
T9,C1031798,20/9/1979,F,BANGALORE,265313.05,18/8/16,35344,1057.12
T10,C1023021,3/2/1966,M,HYDERABAD,28955.20,26/8/16,51519,305.58
T11,C1019505,23/10/1954,M,AHMEDABAD,15273.05,27/8/16,12309,680.32
T12,C1049579,27/9/1965,M,bangalore,7709.05,25/9/16,34136,8718.26
T13,C1023791,20/11/1976,F,CHENNAI,51998.85,20/8/16,61426,1063.42
T14,C1024253,1/2/1957,M,chennai,10127.12,23/10/16,130559,6552.81
T15,C1039542,2/4/1968,M,PUNE,177647.52,15/8/16,200811,76.18
T16,C1046113,5/6/1951,M,NEW DELHI,62247.36,7/10/16,64320,437.38
T17,C1008025,19/10/1990,M,NOIDA,83251.48,28/8/16,220400,1625.74
T18,C1037647,23/10/1989,M,MUMBAI,42589.18,4/10/16,180159,672.52
T19,C1017291,14/4/1997,M,SURAT,13756.88,13/9/16,75156,249.34
T20,C1037431,25/9/1983,M,BANGALORE,24914.04,4/9/16,83924,67.56
T21,C1008319,6/3/1963,M,BANGALORE,59717.72,24/10/16,230526,133.44
T22,C1040754,14/9/1957,F,PATNA,8589.48,19/10/16,110330,550.09
T23,C1011462,12/9/1968,M,NEW DELHI,71240.85,20/9/16,40940,1304.63
T24,C1028883,11/8/1970,M,KOLKATA,5182.30,5/8/16,212450,71.87
T25,C1022121,13/4/1993,M,surat,102872.37,14/9/16,55941,344.16
T26,C1011584,21/1/1981,M,THANE,13196.54,16/10/16,180940,1266.72
T27,C1032438,12/3/1990,M,BANGALORE,17029.96,11/9/16,152328,174.17
T28,C1019366,16/8/1976,M,NEW DELHI,8740.60,8/9/16,172400,676.85
T29,C1040727,27/6/1984,M,CHENNAI,5796.36,30/8/16,202422,25.67
T30,C1007982,1/3/1961,M, BANGALORE ,3398.35,15/9/16,72804,1334.04
T31,C1014607,,M,NEW DELHI,4009.16,22/9/16,170838,70.59
T32,C1026276,21/5/1963,M,NEW DELHI,9241.09,29/8/16,80434,102.77
T33,C1013412,10/9/1995,M,bangalore,37612.37,13/10/16,125129,269.61
T34,C1046968,18/9/1998,F,BANGALORE,92568.53,21/10/16,21832,1177.21
T35,C1023882,18/7/1964,M,BANGALORE,2627.90,28/10/16,144508,866.43
T36,C1001941,3/5/1979,M, PUNE ,22863.46,24/9/16,210334,400.55
T37,C1030272,6/10/1980,M,NEW DELHI,76028.99,19/10/16,235739,58.94
T38,C1008921,6/11/1965,M,THANE,6159.83,7/10/16,71617,508.99
T39,C1002474,4/9/1961,F, GURGAON ,27015.18,1/10/16,72157,1930.77
T40,C1020453,14/1/1991,M,MUMBAI,17508.03,11/9/16,124629,772.13
T41,C1015665,17/1/1993,M,AHMEDABAD,19030.94,30/10/16,53919,148.95
T42,C1014016,25/12/1961,M,CHENNAI,5092.00,10/9/16,200232,74.41
T43,C1042759,2/10/1995,M,PATNA,9653.05,31/10/16,171421,989.94
T44,C1013721,10/7/1963,M,MUMBAI,10950.36,26/8/16,73136,841.55
T45,C1022293,19/10/1998,M,chennai,8874.42,7/10/16,191435,878.51
T46,C1037428,3/3/1969,M,CHENNAI,31010.43,8/9/16,1627,378.47
T47,C1041383,22/7/1997,F,BANGALORE,7968.24,24/8/16,143823,215.46
T48,C1024617,16/4/1967,M,BANGALORE,123652.34,12/8/16,102524,469.82
T49,C1041766,14/2/1960,M,NEW DELHI,52104.71,6/8/16,132438,1478.91
T50,C1035805,8/8/1997,F,BANGALORE,13442.83,18/8/16,182020,322.87
T51,C1018728,2/8/1971,F,NEW DELHI,12155.37,1/9/16,164836,169.49
T52,C1001094,25/2/1955,M,PUNE,19717.97,22/9/16,175948,3198.69
T53,C1021512,18/10/1979,M,MUMBAI,158701.68,13/9/16,20540,668.05
T54,C1004437,27/4/1995,F,MUMBAI,3701.39,27/9/16,62809,446.22
T55,C1033436,1/1/1996,M,NOIDA,17858.39,30/10/16,15403,406.42
T56,C1024341,9/1/1955,M,KOLKATA,6200.19,11/8/16,93232,327.82
T57,C1001355,12/10/1980,M,KOLKATA,14616.28,17/10/16,123143,543.44
T58,C1042213,22/10/1951,M,MUMBAI,8232.36,2/10/16,153832,1500.05
T59,C1038070,5/10/1971,F,BANGALORE,13320.15,4/10/16,95659,228.45
T60,C1035832,20/11/1969,M,GURGAON,2709.72,16/9/16,62346,460.78
T61,C1007552,10/3/1986,M,MUMBAI,21196.19,25/9/16,53741,1471.54
T62,C1000664,9/4/1983,F,SURAT,21409.68,15/8/16,24819,69.28
T63,C1019848,16/10/1991,M,BANGALORE,22338.50,4/10/16,144620,966.83
T64,C1040650,26/5/1977,M,HYDERABAD,24672.26,22/8/16,170900,412.34
T65,C1022536,1/1/1800,M,KOLKATA,7681.75,28/8/16,21314,697.70
T66,C1045146,25/2/1975,M,CHENNAI,60856.17,8/9/16,10017,439.00
T67,C1020865,,F,HYDERABAD,35261.71,24/8/16,234743,26.63
T68,C1024327,28/11/1962,M,INDORE,14796.73,20/9/16,2221,1321.61
T69,C1042453,6/1/1969,M,NEW DELHI,14687.13,20/8/16,185350,382.78
T70,C1048974,5/3/1955,M,LUCKNOW,9721.24,5/10/16,74256,882.47
T71,C1034616,1/1/1800,M,CHENNAI,6114.71,29/10/16,25159,3380.44
T72,C1017829,17/3/1982,M,NEW DELHI,8607.03,12/10/16,125837,672.41
T73,C1037480,1/1/1800,M,indore,41632.68,31/8/16,201429,860.84
T74,C1031810,4/2/1990,M,CHENNAI,5485.67,21/10/16,82620,213.71
T75,C1028895,1/11/1972,M,AHMEDABAD,2114.83,30/9/16,33035,405.22
